Date,Open,High,Low,Close,Adj Close,Volume
2002-05-17,8.489810,8.769130,8.462220,8.658780,3.903366,14660424
2002-05-20,8.631190,8.658780,8.434640,8.548430,3.853621,35629045
2002-05-21,8.462220,8.489810,8.103600,8.103600,3.653091,14106056
2002-05-22,8.048420,8.186360,7.965660,8.103600,3.653091,20568008
2002-05-23,8.103600,8.131180,8.048420,8.103600,3.653091,18858086
2002-05-24,8.103600,8.434640,8.103600,8.351880,3.765016,15178082
2002-05-27,8.296700,8.548430,8.186360,8.489810,3.827195,9861044
2002-05-28,8.517400,8.548430,8.269120,8.324290,3.752578,12943586
2002-05-29,8.269120,8.379460,8.158770,8.379460,3.777449,16899174
2002-05-30,8.351880,8.658780,8.324290,8.658780,3.903366,11945511
2002-05-31,8.658780,8.741540,8.489810,8.741540,3.940674,6722109
2002-06-03,8.434640,8.548430,8.269120,8.379460,3.777449,18215400
2002-06-04,8.213940,8.379460,8.213940,8.324290,3.752578,8762950
2002-06-05,8.351880,8.434640,8.241530,8.241530,3.715271,10719730
2002-06-06,8.241530,8.296700,8.213940,8.213940,3.702832,9027364
2002-06-07,8.131180,8.434640,8.103600,8.269120,3.727708,10787295
2002-06-10,8.351880,8.379460,8.186360,8.241530,3.715271,17941410
2002-06-11,8.324290,8.517400,8.269120,8.269120,3.727708,11204403
2002-06-12,8.324290,8.407050,8.269120,8.351880,3.765016,17443967
2002-06-13,8.351880,8.879470,8.324290,8.796710,3.965544,20293481
2002-06-14,8.796710,9.158790,8.686370,8.907060,4.015290,15087105
2002-06-17,8.824300,8.962230,8.741540,8.796710,3.965544,13151074
2002-06-18,8.851890,8.879470,8.517400,8.576020,3.866058,9773259
2002-06-19,8.576020,8.658780,8.462220,8.658780,3.903366,20230172
2002-06-20,8.517400,8.769130,8.489810,8.741540,3.940674,28506320
2002-06-21,8.686370,8.934650,8.603610,8.658780,3.903366,21134611
2002-06-24,8.686370,8.769130,8.576020,8.576020,3.866058,20199314
2002-06-25,8.658780,8.713950,8.351880,8.379460,3.777449,13889522
2002-06-26,8.269120,8.379460,8.048420,8.213940,3.702832,8879994
2002-06-27,8.324290,8.379460,8.048420,8.048420,3.628216,5134020
2002-06-28,8.186360,8.269120,8.103600,8.186360,3.690401,7796795
2002-07-01,8.186360,8.186360,7.934630,8.103600,3.653091,4851611
2002-07-02,8.269120,8.462220,8.213940,8.379460,3.777449,20247195
2002-07-03,8.269120,8.576020,8.213940,8.517400,3.839631,156968054
2002-07-04,8.434640,8.576020,8.379460,8.548430,3.853621,31649511
2002-07-05,8.658780,8.686370,8.269120,8.434640,3.802324,254956043
2002-07-08,8.434640,8.576020,8.434640,8.548430,3.853621,15036565
2002-07-09,8.548430,8.548430,8.324290,8.434640,3.802324,16770426
2002-07-10,8.407050,8.548430,8.351880,8.462220,3.814757,12513709
2002-07-11,8.462220,8.576020,8.324290,8.351880,3.765016,110570331
2002-07-12,8.462220,8.517400,8.351880,8.434640,3.802324,6728492
2002-07-15,8.434640,8.462220,8.296700,8.296700,3.740141,43489685
2002-07-16,8.379460,8.379460,8.158770,8.158770,3.677962,19870524
2002-07-17,8.158770,8.324290,8.131180,8.269120,3.727708,12055106
2002-07-18,8.269120,8.407050,8.186360,8.241530,3.715271,26622961
2002-07-19,8.241530,8.324290,8.186360,8.269120,3.727708,3783161
2002-07-22,8.186360,8.296700,8.076010,8.241530,3.715271,3145787
2002-07-23,8.269120,8.296700,8.048420,8.269120,3.727708,14074667
2002-07-24,8.241530,8.241530,8.020840,8.158770,3.677962,13626170
2002-07-25,8.213940,8.269120,8.048420,8.103600,3.653091,9604610
2002-07-26,8.020840,8.103600,7.965660,8.048420,3.628216,187325282
2002-07-29,8.020840,8.213940,8.020840,8.048420,3.628216,10717070
2002-07-30,8.186360,8.269120,8.076010,8.186360,3.690401,60347364
2002-07-31,8.213940,8.213940,8.048420,8.076010,3.640655,3553911
2002-08-01,8.076010,8.241530,8.048420,8.076010,3.640655,10890507
2002-08-02,8.131180,8.324290,8.076010,8.324290,3.752578,14565723
2002-08-05,8.076010,8.186360,7.993250,8.048420,3.628216,20720696
2002-08-06,8.048420,8.213940,8.048420,8.186360,3.690401,9451386
2002-08-07,8.241530,8.241530,8.103600,8.158770,3.677962,6584315
2002-08-08,8.213940,8.241530,8.076010,8.186360,3.690401,4984522
2002-08-09,8.324290,8.407050,8.269120,8.324290,3.752578,10307412
2002-08-12,8.407050,8.658780,8.407050,8.489810,3.827195,10589916
2002-08-13,8.489810,8.548430,8.324290,8.324290,3.752578,13146286
2002-08-14,8.324290,8.434640,8.269120,8.407050,3.789886,6646029
2002-08-15,8.407050,8.434640,8.269120,8.296700,3.740141,6960456
2002-08-16,8.296700,8.296700,8.076010,8.158770,3.677962,7216359
2002-08-19,8.131180,8.131180,7.993250,7.993250,3.603346,12253552
2002-08-20,7.993250,8.076010,7.824280,7.879450,3.552044,15363226
2002-08-21,7.824280,7.934630,7.686350,7.796690,3.514738,3795132
2002-08-22,7.851870,7.907040,7.631170,7.686350,3.464996,27514631
2002-08-23,7.686350,7.686350,7.686350,7.686350,3.464996,26007940
2002-08-26,7.438070,7.548410,7.382890,7.410480,3.340634,28851071
2002-08-27,7.493240,7.631170,7.438070,7.520830,3.390380,23228654
2002-08-28,7.520830,7.548410,7.382890,7.410480,3.340634,16301713
2002-08-29,7.351860,7.382890,7.269100,7.324270,3.301770,8885313
2002-08-30,7.324270,7.493240,7.296690,7.410480,3.340634,22722700
2002-09-02,7.438070,7.438070,7.296690,7.351860,3.314209,27737016
2002-09-03,7.351860,7.382890,7.186340,7.186340,3.239592,14660424
2002-09-04,6.965640,7.075990,6.882880,6.938060,3.127668,35629045
