Date,Open,High,Low,Close,Adj Close,Volume
1993-01-05,0.730800,0.744620,0.726200,0.730800,0.027260,33478783
1993-01-06,0.729270,0.729270,0.712380,0.718520,0.026802,46846588
1993-01-07,0.718520,0.729270,0.712380,0.715450,0.026688,44447318
1993-01-08,0.724660,0.724660,0.687810,0.693960,0.025886,43699452
1993-01-11,0.692420,0.709310,0.692420,0.698560,0.026058,14068905
1993-01-12,0.695490,0.715450,0.695490,0.715450,0.026688,20191484
1993-01-13,0.713910,0.729270,0.706240,0.729270,0.027203,22679596
1993-01-14,0.735410,0.749230,0.729270,0.747690,0.027890,49678867
1993-01-15,0.752300,0.758440,0.730800,0.736940,0.027489,45700102
1993-01-18,0.733870,0.736940,0.729270,0.730800,0.027260,35367664
1993-01-19,0.730800,0.749230,0.730800,0.736940,0.027489,38661742
1993-01-20,0.736940,0.736940,0.736940,0.736940,0.027489,0
1993-01-21,0.736940,0.736940,0.736940,0.736940,0.027489,0
1993-01-22,0.736940,0.736940,0.736940,0.736940,0.027489,0
1993-01-25,0.736940,0.736940,0.736940,0.736940,0.027489,0
1993-01-26,0.736940,0.736940,0.736940,0.736940,0.027489,0
1993-01-27,0.740010,0.750760,0.736940,0.736940,0.027489,87604987
1993-01-28,0.744620,0.749230,0.736940,0.740010,0.027604,35901761
1993-01-29,0.729270,0.738480,0.721590,0.735410,0.027432,32853498
1993-02-01,0.756900,0.764580,0.744620,0.759970,0.028349,83501556
1993-02-02,0.759970,0.766120,0.749230,0.766120,0.028578,72765549
1993-02-03,0.767650,0.790680,0.764580,0.783000,0.029208,160905806
1993-02-04,0.783000,0.783000,0.767650,0.767650,0.028635,71910472
1993-02-05,0.783000,0.798360,0.775330,0.790680,0.029494,65732008
1993-02-08,0.767650,0.790680,0.767650,0.783000,0.029208,56080218
1993-02-09,0.775330,0.783000,0.767650,0.767650,0.028635,33307546
1993-02-10,0.767650,0.783000,0.753830,0.753830,0.028120,99537112
1993-02-11,0.750760,0.755370,0.744620,0.753830,0.028120,80734542
1993-02-12,0.766120,0.766120,0.755370,0.766120,0.028578,49193489
1993-02-15,0.736940,0.740010,0.721590,0.738480,0.027547,79137591
1993-02-16,0.733870,0.733870,0.721590,0.726200,0.027089,52646233
1993-02-17,0.713910,0.729270,0.713910,0.724660,0.027031,34651192
1993-02-18,0.730800,0.730800,0.721590,0.721590,0.026917,28313606
1993-02-19,0.718520,0.730800,0.718520,0.730800,0.027260,38730784
1993-02-22,0.730800,0.740010,0.721590,0.730800,0.027260,71451800
